N,J,max_defect,max_bc_error,feasible,slsqp_success,iterations,time_s,warm_started
20,4.899240288419776,1.236899471734887e-12,0.0,True,True,119,3.133720300043933,False
40,4.108113042534592,2.2754242934297508e-11,0.0,True,True,139,12.415172100067139,True
80,3.8838399152222842,2.568611989772762e-12,0.0,True,True,400,98.17803820001427,True
160,2.6025988090689274,1.191935439237568e-12,0.0,True,True,580,467.633582499926,True
