epoch,day_close,min_lunar_km,soi,apo_end_km
02 Oct 2003 00:00:00.000,131.0,61284.4,True,349843.4
04 Oct 2003 00:00:00.000,140.0,35407.6,True,840384.0
06 Oct 2003 00:00:00.000,140.0,103557.0,False,-4033572.9
08 Oct 2003 00:00:00.000,141.0,128743.3,False,-3037210.1
10 Oct 2003 00:00:00.000,144.0,144371.3,False,-2122242.1
12 Oct 2003 00:00:00.000,121.0,160383.4,False,-2404092.6
14 Oct 2003 00:00:00.000,122.0,164317.8,False,-2073457.5
16 Oct 2003 00:00:00.000,123.0,209090.9,False,-2014079.8
18 Oct 2003 00:00:00.000,113.0,215305.5,False,-2005423.5
20 Oct 2003 00:00:00.000,114.0,189457.5,False,-1873188.5
22 Oct 2003 00:00:00.000,115.0,213552.1,False,-1835297.9
24 Oct 2003 00:00:00.000,108.0,222700.2,False,-1854195.4
28 Sep 2003 00:00:00.000,108.0,223367.5,False,-2078923.3
30 Sep 2003 00:00:00.000,131.0,183504.6,False,-4624566.2
