case,model,ratio,soi_v_kms,soi_energy,peri_alt_km,peri_v_ms,peri_energy,v_circ_ms,v_esc_ms,capture_dv_ms,bound,v_inf_ms,t_peri_d
CR3BP reference (design intent),CR3BP,1.19,0.5777802677229815,0.09271080722410771,4348.645447539684,1335.0271149959028,0.08556802677274222,897.5414598303521,1269.3153052842306,437.4856551655507,False,413.6859358806925,15.944050472647207
GMAT reference (recalibrated),GMAT,1.200625,0.594790941724,0.102514344965,3910.54148957,1387.0779007600001,0.0939239654789,931.7019834201277,1317.6255810426571,455.3759173398724,False,433.4142717514041,17.39350960648148
chaser coast (uncorrected),GMAT,1.187,nan,nan,141794.94994700002,840.788327231,0.319304348339,184.8192556669913,261.3738979519596,655.9690715640088,False,799.1299623202724,16.908950524999998
chaser + GMAT-QUBO schedule,GMAT,1.187,0.635874739769,0.127888902197,4001.1369950900003,1396.23271011,0.120368688098,924.3182364827302,1307.1833859826588,471.9144736272699,False,490.64995281361234,17.393509606597224
