case,solver,seed_index,objective,feasible,success,max_defect,max_bc_error,n_iterations
C (wide swing),SLSQP,4,1.46788203,True,True,3.680e-11,0.000e+00,119
C (wide swing),SLSQP,5,2.55542612,False,False,7.605e-04,0.000e+00,300
C (wide swing),SLSQP,6,1.36145772,True,True,7.290e-10,0.000e+00,269
C (wide swing),SLSQP,7,14.73787224,False,False,9.839e-06,0.000e+00,300
C (wide swing),SLSQP,8,3.00971068,True,True,1.294e-09,0.000e+00,215
C (wide swing),SLSQP,9,1.46788205,True,True,3.248e-11,0.000e+00,81
C (wide swing),SLSQP,10,1.46788201,True,True,2.440e-09,0.000e+00,89
C (wide swing),SLSQP,11,1.46788201,True,True,3.824e-11,0.000e+00,102
C (wide swing),SLSQP,12,1.46788202,True,True,2.576e-10,0.000e+00,104
C (wide swing),SLSQP,13,15.67601385,False,False,1.591e-04,0.000e+00,300
C (wide swing),SLSQP,14,2.49328065,True,True,2.016e-09,0.000e+00,234
C (wide swing),SLSQP,15,1.46788204,True,True,4.801e-11,0.000e+00,92
C (wide swing),SLSQP,16,1.93290575,True,True,1.076e-09,0.000e+00,213
C (wide swing),SLSQP,17,1.46788200,True,True,6.297e-10,0.000e+00,240
C (wide swing),SLSQP,18,1.35754296,True,True,1.364e-09,0.000e+00,260
C (wide swing),SLSQP,19,1.74594610,True,True,2.662e-10,0.000e+00,204
C (wide swing),SLSQP,20,3.40362847,True,True,2.282e-10,0.000e+00,233
C (wide swing),SLSQP,21,2.42201508,True,True,1.628e-09,0.000e+00,145
C (wide swing),SLSQP,22,1.36974440,True,True,3.454e-09,0.000e+00,221
C (wide swing),SLSQP,23,2.05894623,True,True,1.392e-10,0.000e+00,79
C (wide swing),SLSQP,24,1.46788201,True,True,3.567e-10,0.000e+00,145
C (wide swing),SLSQP,25,2.45641712,True,True,4.653e-10,0.000e+00,137
C (wide swing),SLSQP,26,12.50708361,False,False,1.116e-02,0.000e+00,300
C (wide swing),SLSQP,27,19.52257906,False,False,1.629e-02,0.000e+00,300
C (wide swing),SLSQP,28,2.61583864,True,True,1.026e-10,0.000e+00,200
C (wide swing),SLSQP,29,3.16370147,True,True,9.870e-11,0.000e+00,243
C (wide swing),SLSQP,30,1.77165942,True,True,1.051e-09,0.000e+00,122
C (wide swing),SLSQP,31,2.74954332,True,True,1.999e-09,0.000e+00,144
A (baseline),fmincon,0,3.90966827,True,True,1.776e-15,1.599e-29,287
A (baseline),fmincon,1,9.21398072,False,False,5.073e-06,9.243e-18,300
A (baseline),fmincon,2,8.39072394,False,False,8.405e-04,2.682e-17,300
A (baseline),fmincon,3,5.23389557,True,True,1.776e-15,3.922e-31,191
A (baseline),fmincon,4,10.68764949,True,True,2.665e-15,7.111e-23,258
A (baseline),fmincon,5,22.51511958,True,True,1.332e-15,3.671e-22,145
